Artist,Album,Genre,Release Date,Listened On,Favorite Songs,Rating,Tags,,,,,,,,,
Zach Bryan,Zach Bryan,Country,9/25/2023,10/3/2023,"Tourniquet, Overtime, Hey Driver",8.5,New, ,,,,,,,,
Sufjan Stevens,Javelin,Singer-Songwriter,10/6/2023,10/9/2023,"So You Are Tired, Shit Talk, Will Anybody Ever Love Me?",8,New, ,,,,,,,,
KNOWER,KNOWER FOREVER,"Jazz, Funk",6/2/2023,10/11/2023,"I'm The President, The Abyss, Do Hot Girls Like Chords?",6,New, ,,,,,,,,
Bear Ghost,Jiminy,Alt Rock,9/22/2023,10/13/2023,"Heavy News, Sirens, Vulture",5,New, ,,,,,,,,
grentperez,When We Were Younger,Indie-pop,6/2/2023,10/14/2023,"When We Were Younger, Stuck On You, When The Day Is Done",5.5,New, ,,,,,,,,
Peso Pluma,Génesis,Latin,6/22/2023,10/15/2023,"ROSA PASTEL, LADY GAGA, PRC",5,New, ,,,,,,,,
Theo Katzman,Be the Wheel,Alt Folk,3/10/2023,10/17/2023,"The Only Chance We Have, 5-Watt Rock, She's in My Shoe",4,New, ,,,,,,,,
TV Girl,Grapes Upon the Vine,Indie Pop,6/30/2023,10/18/2023,"I'll Be Faithful, All The Way Through, Hang On",3.5,New, ,,,,,,,,
Corinne Bailey Rae,Black Rainbows,"Alt R&B, Jazz",9/15/2023,10/20/2023,"Red Horse, He Will Follow You With His Eyes, New York Transit Queen",4,New, ,,,,,,,,
Foo Fighters,But Here We Are,Alt Rock,6/2/2023,10/29/2023,"Rescued, Hearing Voices, Nothing At All",7,New, ,,,,,,,,
The Brook & The Bluff,Bluebeard,Indie Pop,9/15/2023,10/30/2023,"Hiding, Bulletins From The Past, Bluebeard",5.5,New, ,,,,,,,,
Madison McFerrin,I Hope You Can Forgive Me,"Alt R&B, Soul",5/12/2023,10/31/2023,"(Please Don't) Leave Me Now, Utah, Stay Away (From Me)",5,New, ,,,,,,,,
L'Rain,I Killed Your Dog,Psychedelia,10/13/2023,11/1/2023,"Pet Rock, 5 to 8 Hours a Day (WWwaG), Clumsy",3.5,New, ,,,,,,,,
RAYE,My 21st Century Blues,"Pop, R&B",2/3/2023,11/2/2023,"Worth It., Escapism, The Thrill Is Gone",6,New, ,,,,,,,,
Lamp,Dusk to Dawn,"Pop, City Pop",10/10/2023,11/3/2023,"Around the Corner, Dusk, The Last Dance",4.5,New, ,,,,,,,,
The Alchemist,"Flying High, Part 2","Abstract Hip Hop, Jazz Rap",11/3/2023,11/9/2023,"Turkish Link, Vertigo, Phil Drummond",5.5,New, ,,,,,,,,
PinkPantheress,Heaven knows,"Drums and Bass, Pop",11/10/2023,11/10/2023,"Mosquito, Capable of love, True romance",7,New, ,,,,,,,,
love-sadKID,SHIFT!,"Jazz Rap, Lo-Fi Hip Hop",10/18/2023,11/11/2023,"Okizeme, Love Songs & Apologies, FREE",4,New, ,,,,,,,,
Certainly So,Future Self Only Dreams,Alternative/Indie,3/5/2023,11/20/2023,"Foreign Ties, Story to Tell, Wonderful Time",5,New, ,,,,,,,,
Wilco,Cousin,Alt Folk,9/29/2023,11/21/2023,"A Bowl and A Pudding, Evicted, Infinite Surprise",5,New, ,,,,,,,,
death's dynamic shroud,Keys To The Gate,"Vaporwave, Glitch pop",10/10/2023,11/23/2023,"Keys To The Gate, Nothing Lasts Forever, Let Them Live",3,New, ,,,,,,,,
death's dynamic shroud,Transcendence Bot,"Vaporwave, Glitch pop",10/10/2023,11/23/2023,"Un-reflected, Over Again, What? to be human",5,New, ,,,,,,,,
death's dynamic shroud,Midnight Tangerine,"Vaporwave, Glitch pop",10/10/2023,11/23/2023,"A Part Of Me, Who I Say I Am, The Bleeding Of The Sun",7,New, ,,,,,,,,
King Gizzard & The Lizard Wizard,The Silver Cord,Synthpop,10/27/2023,11/28/2023,"The Silver Cord, Theia, Chang'e",6.5,New, ,,,,,,,,
Andre 3000,New Blue Sun,Ambient,11/17/2023,11/29/2023,"I swear I Really Wanted To Make A ""Rap"" Album But This Is Literally The Way The Wind Blew Me This Time, The Slang Word P(*)ssy Rolls Off The Tongue With Far Better Ease Than The Proper Word Vagina Do You Agree?, Ants To You Gods To Who ?",4.5,New, ,,,,,,,,
YUKIKA,Time-Lapse,"Kpop, City Pop, Covers",12/1/2023,12/3/2023,"I want to be closer to you, Remember Summer Days, Telephone Number",7,New, ,,,,,,,,
Sampha,Lahai,Alternative R&B,10/20/2023,12/4/2023,"Spirit 2.0, Dancing Circles, Only",7,New, ,,,,,,,,
Quadeca,SCRAPYARD I/II/III,Experimental Hip-Hop,10/11/2023,12/5/2023,"EASIER, U DON'T KNOW ME LIKE THAT, A LA CARTE",6,New, ,,,,,,,,
bl4ck m4rket c4rt,Today I Laid Down,Indie Rock,8/25/2023,12/5/2023,"Good Morning Texts, No Food, Today I Laid Down",4.5,New, ,,,,,,,,
The Lemon Twigs,Everything Harmony,Soft Rock,5/5/2023,12/6/2023,"When Winter Comes Around, In My Head, New To Me",6,New, ,,,,,,,,
Yaeji,With A Hammer,Glitch Pop,4/7/2023,12/7/2023,"Submerge FM, For Granted, Happy",4,New, ,,,,,,,,
Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,"Singer-Songwriter, Art Pop",3/24/2023,12/7/2023,"Did you know that there's a tunnel under Ocean Blvd, The Grants, Let The Light In",7.5,New, ,,,,,,,,
Sarah Kinsley,Ascension,Indie Pop,6/9/2023,12/8/2023,"Oh No Darling!, Lovegod, Sliver Of Time",6.5,New, ,,,,,,,,
Aesop Rock,Integrated Tech Solutions,Abstract Hip Hop,11/10/2023,12/8/2023,"Mindful Solutionism, Vititus, Infinity Fill Goose Down",4.5,New, ,,,,,,,,
"Mandy, Indiana",i've seen a way,"Industrial, Noise Rock",5/19/2023,12/9/2023,"Love Theme (4K VHS), Sensitivity Training, Pinking Shears",2.5,New, ,,,,,,,,
